Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
209	:	1671204386.935	     2.483	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3605442176870748
210	:	1671204387.001	     2.483	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3513513513513513
211	:	1671204387.063	     2.519	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.342281879194631
212	:	1671204387.135	     2.525	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3333333333333333
213	:	1671204387.209	     2.617	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3245033112582782
214	:	1671204387.274	     2.614	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3157894736842106
215	:	1671204387.347	     2.626	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.3071895424836601
216	:	1671204387.417	     2.619	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2987012987012987
217	:	1671204387.489	     2.612	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2903225806451613
218	:	1671204387.567	     2.616	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.282051282051282
219	:	1671204387.643	     2.606	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2738853503184713
220	:	1671204387.836	     2.493	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2658227848101264
221	:	1671204387.925	     2.482	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2578616352201257
222	:	1671204388.003	     2.477	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.25
223	:	1671204388.072	     2.493	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2422360248447204
224	:	1671204388.163	     2.483	0	226	0	0	/home/wistaria/build/exact/ising/free_energy/square_finite 8 1.2345679012345678
